Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_node()
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_put_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_node<std::pair<std::string const, std::string> >* std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_create_node<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_destroy_node(std::_Rb_tree_node<std::pair<std::string const, std::string> >*)
  0.00      0.01     0.00        4     0.00     0.00  std::pair<std::_Rb_tree_iterator<std::pair<std::string const, std::string> >, bool> std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_insert_unique<std::pair<std::string, std::string> >(std::pair<std::string, std::string>&&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_M_get_insert_unique_pos(std::string const&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::find(std::string const&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::begin()
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree<std::string, std::pair<std::string const, std::string>, std::_Select1st<std::pair<std::string const, std::string> >, std::less<std::string>, std::allocator<std::pair<std::string const, std::string> > >::_S_value(std::_Rb_tree_node_base const*)
  0.00      0.01     0.00        4     0.00     0.00  void std::_Construct<std::string, std::string>(std::string*, std::string&&)
  0.00      0.01     0.00        4     0.00     0.00  std::remove_reference<std::string&>::type&& std::move<std::string&>(std::string&)
  0.00      0.01     0.00        4     0.00     0.00  std::_Rb_tree_iterator<std::pair<std::string const, std::string> >&& std::forward<std::_Rb_tree_iterator<std::pair<std::string const, std::string> > >(std::remove_reference<std::_Rb_tree_iterator<std::pair<std::string const, std::string> > >::type&)
  0.00      0.01     0.00        4     0.00     0.00  bool&& std::forward<bool>(std::remove_reference<bool>::type&)
  0.00      0.01     0.00        3     0.00     0.00  MatrixOperationBatchTester::parseMatrixDimensions(std::basic_ifstream<char, std::char_traits<char> >&)
  0.00      0.01     0.00        3     0.00     0.00  std::istream& operator>><double>(std::istream&, Matrix<double>&)
  0.00      0.01     0.00        2     0.00     0.00  Options::Options(int, char**)
  0.00      0.01     0.00        2     0.00     0.00  Options::~Options()
  0.00      0.01     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<std::string const, std::string> > >::new_allocator()
